"busco_id"	"Balaena_mysticetus"	"Balaenoptera_acutorostrata"	"Balaenoptera_borealis"	"Balaenoptera_brydei"	"Balaenoptera_omurai"	"Balaenoptera_physalus"	"Cephalorhynchus_hectori"	"Delphinapterus_leucas"	"Delphinus_capensis"	"Delphinus_delphis"	"Eschrichtius_robustus"	"Eubalaena_australis"	"Eubalaena_glacialis"	"Feresa_attenuata"	"Globicephala_macrorhynchus"	"Globicephala_melas"	"Grampus_griseus"	"Kogia_breviceps"	"Kogia_sima"	"Lagenorhynchus_acutus"	"Lagenorhynchus_albirostris"	"Lagenorhynchus_obliquidens"	"Lipotes_vexillifer"	"Megaptera_novaeangliae"	"Mesoplodon_bidens"	"Mesoplodon_densirostris"	"Monodon_monoceros"	"Neophocaena_asiaeorientalis"	"Neophocaena_phocaenoides"	"Orcinus_orca"	"Phocoena_phocoena"	"Phocoenoides_dalli"	"Physeter_catodon"	"Pseudorca_crassidens"	"Sousa_chinensis"	"Stenella_attenuata"	"Stenella_coeruleoalba"	"Steno_bredanensis"	"Tursiops_aduncus"	"Tursiops_truncatus"	"Ziphius_cavirostris"
"EOG0902000Z"	NA	"XM_007186250.1"	NA	NA	NA	NA	NA	"XM_022576999.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027116051.1"	"XM_007466789.1"	NA	NA	NA	"XM_029210309.1"	"XM_024753922.1"	NA	"XM_004276852.2"	NA	NA	"XM_024123253.2"	NA	NA	NA	NA	NA	NA	"XM_019920879.1"	NA
"EOG09020010"	NA	"XM_028166784.1"	NA	NA	NA	NA	NA	"XM_022574358.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027113739.1"	"XM_007463760.1"	NA	NA	NA	"XM_029232060.1"	"XM_024747803.1"	NA	"XM_004274849.1"	NA	NA	"XM_028496582.1"	NA	NA	NA	NA	NA	NA	"XM_019943351.1"	NA
"EOG09020011"	NA	"XM_007164214.1"	NA	NA	NA	NA	NA	"XM_022574497.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027116695.1"	"XM_007471461.1"	NA	NA	NA	"XM_029210392.1"	"XM_024752498.1"	NA	"XM_012537427.1"	NA	NA	"XM_028497413.1"	NA	NA	NA	NA	NA	NA	"XM_019936891.1"	NA
"EOG09020013"	NA	"XM_028168791.1"	NA	NA	NA	NA	NA	"XM_022574123.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027113430.1"	"XM_007450952.1"	NA	NA	NA	"XM_029231389.1"	"XM_024732052.1"	NA	"XM_004268201.2"	NA	NA	"XM_028496677.1"	NA	NA	NA	NA	NA	NA	"XM_019942913.1"	NA
"EOG0902001B"	NA	"XM_007169950.1"	NA	NA	NA	NA	NA	"XM_022598271.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027110129.1"	"XM_007463189.1"	NA	NA	NA	"XM_029230148.1"	"XM_024749918.1"	NA	"XM_004272412.2"	NA	NA	"XM_028487836.1"	NA	NA	NA	NA	NA	NA	"XM_019930841.1"	NA
"EOG0902001F"	NA	"XM_007188783.1"	NA	NA	NA	NA	NA	"XM_022584576.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027131617.1"	"XM_007466246.1"	NA	NA	NA	"XM_029222874.1"	"XM_024739724.1"	NA	"XM_004282958.1"	NA	NA	"XM_007114624.2"	NA	NA	NA	NA	NA	NA	"XM_019942265.1"	NA
"EOG0902001L"	NA	"XM_007170832.2"	NA	NA	NA	NA	NA	"XM_022560641.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027091795.1"	"XM_007458433.1"	NA	NA	NA	"XM_029244867.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_019935870.1"	NA
"EOG0902001P"	NA	"XM_028163603.1"	NA	NA	NA	NA	NA	"XM_022553139.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027094061.1"	"XM_007452944.1"	NA	NA	NA	"XM_029244993.1"	"XM_024761472.1"	NA	"XM_004271551.2"	NA	NA	"XM_024115664.2"	NA	NA	NA	NA	NA	NA	"XM_019941625.1"	NA
"EOG0902001R"	NA	"XM_028163538.1"	NA	NA	NA	NA	NA	"XM_022562639.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027102797.1"	"XM_007445653.1"	NA	NA	NA	"XM_029232881.1"	"XM_024738453.1"	NA	"XM_004263502.2"	NA	NA	"XM_024129854.1"	NA	NA	NA	NA	NA	NA	"XM_019930636.1"	NA
"EOG0902001T"	NA	"XM_007196413.1"	NA	NA	NA	NA	NA	"XM_022580595.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027121967.1"	"XM_007460874.1"	NA	NA	NA	"XM_029238289.1"	"XM_024750089.1"	NA	"XM_004278606.1"	NA	NA	"XM_007118498.3"	NA	NA	NA	NA	NA	NA	"XM_019933506.1"	NA
"EOG0902001X"	NA	"XM_007194041.1"	NA	NA	NA	NA	NA	"XM_022582098.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027126840.1"	"XM_007451921.1"	NA	NA	NA	"XM_029242364.1"	"XM_024765923.1"	NA	"XM_004285604.1"	NA	NA	"XM_024121891.1"	NA	NA	NA	NA	NA	NA	"XM_019949642.1"	NA
"EOG09020022"	NA	"XM_007176110.1"	NA	NA	NA	NA	NA	"XM_022593914.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027100741.1"	"XM_007471973.1"	NA	NA	NA	"XM_029217891.1"	"XM_024755727.1"	NA	"XM_004270849.2"	NA	NA	"XM_024124683.2"	NA	NA	NA	NA	NA	NA	"XM_019929772.1"	NA
"EOG09020023"	NA	"XM_028167492.1"	NA	NA	NA	NA	NA	"XM_022587764.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027125809.1"	"XM_007448864.1"	NA	NA	NA	"XM_029219913.1"	"XM_024745415.1"	NA	"XM_004268920.1"	NA	NA	"XM_024118908.1"	NA	NA	NA	NA	NA	NA	"XM_019930579.1"	NA
"EOG09020025"	NA	"XM_007178304.1"	NA	NA	NA	NA	NA	"XM_022579081.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027105235.1"	"XM_007449809.1"	NA	NA	NA	"XM_029202810.1"	"XM_024757284.1"	NA	"XM_004269347.2"	NA	NA	"XM_024126323.2"	NA	NA	NA	NA	NA	NA	"XM_019946525.1"	NA
"EOG09020026"	NA	"XM_028166458.1"	NA	NA	NA	NA	NA	"XM_022579675.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027123201.1"	"XM_007458877.1"	NA	NA	NA	"XM_029237277.1"	"XM_024735158.1"	NA	"XM_004274700.2"	NA	NA	"XM_024128742.2"	NA	NA	NA	NA	NA	NA	"XM_019947640.1"	NA
"EOG09020027"	NA	"XM_007192136.1"	NA	NA	NA	NA	NA	"XM_022561637.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027095856.1"	"XM_007447515.1"	NA	NA	NA	"XM_029234756.1"	"XM_024764205.1"	NA	"XM_004285428.2"	NA	NA	"XM_024115430.2"	NA	NA	NA	NA	NA	NA	"XM_019926661.1"	NA
"EOG0902002B"	NA	"XM_007184007.1"	NA	NA	NA	NA	NA	"XM_022561223.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027132047.1"	"XM_007453424.1"	NA	NA	NA	"XM_029232820.1"	"XM_024763994.1"	NA	"XM_004277132.2"	NA	NA	"XM_028496787.1"	NA	NA	NA	NA	NA	NA	"XM_019942680.1"	NA
"EOG0902002E"	NA	"XM_007189817.1"	NA	NA	NA	NA	NA	"XM_022597184.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027131779.1"	"XM_007464137.1"	NA	NA	NA	"XM_029232068.1"	"XM_024753009.1"	NA	"XM_004280652.2"	NA	NA	"XM_028496944.1"	NA	NA	NA	NA	NA	NA	"XM_019942617.1"	NA
"EOG0902002H"	NA	"XM_007183218.1"	NA	NA	NA	NA	NA	"XM_022570178.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027129230.1"	"XM_007466559.1"	NA	NA	NA	"XM_029225392.1"	"XM_024756658.1"	NA	"XM_004267257.1"	NA	NA	"XM_007118562.3"	NA	NA	NA	NA	NA	NA	"XM_019922231.1"	NA
"EOG0902002I"	NA	"XM_007167281.1"	NA	NA	NA	NA	NA	"XM_022579189.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027122143.1"	"XM_007459663.1"	NA	NA	NA	"XM_029230965.1"	"XM_024764063.1"	NA	"XM_012538805.1"	NA	NA	"XM_024130691.1"	NA	NA	NA	NA	NA	NA	"HQ141113.1"	NA
"EOG0902002K"	NA	"XM_007195796.1"	NA	NA	NA	NA	NA	"XM_022585503.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027102406.1"	"XM_007461897.1"	NA	NA	NA	"XM_029234407.1"	"XM_024767008.1"	NA	"XM_004265616.2"	NA	NA	"XM_028489995.1"	NA	NA	NA	NA	NA	NA	"XM_019927017.1"	NA
"EOG0902002M"	NA	"XM_007193043.1"	NA	NA	NA	NA	NA	"XM_022593304.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027100688.1"	"XM_007451703.1"	NA	NA	NA	"XM_029217545.1"	"XM_024734333.1"	NA	"XM_004281633.2"	NA	NA	"XM_007107162.3"	NA	NA	NA	NA	NA	NA	"XM_019929736.1"	NA
"EOG0902002R"	NA	"XM_028161736.1"	NA	NA	NA	NA	NA	"XM_022574615.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027116538.1"	"XM_007464256.1"	NA	NA	NA	"XM_029209784.1"	"XM_024755360.1"	NA	"XM_004282253.2"	NA	NA	"XM_007105456.3"	NA	NA	NA	NA	NA	NA	"XM_019936763.1"	NA
"EOG0902002T"	NA	"XM_007193672.1"	NA	NA	NA	NA	NA	"XM_022574706.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027116453.1"	"XM_007448628.1"	NA	NA	NA	"XM_029210560.1"	"XM_024755446.1"	NA	"XM_004282243.1"	NA	NA	"XM_007117016.3"	NA	NA	NA	NA	NA	NA	"XM_019936699.1"	NA
"EOG0902002U"	NA	"XM_007172986.1"	NA	NA	NA	NA	NA	"XM_022561583.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027082395.1"	"XM_007447215.1"	NA	NA	NA	"XM_029207706.1"	"XM_024766966.1"	NA	"XM_004282269.1"	NA	NA	"XM_007110688.3"	NA	NA	NA	NA	NA	NA	"XM_019941951.1"	NA
"EOG0902002W"	NA	"XM_028167189.1"	NA	NA	NA	NA	NA	"XM_022595218.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027127881.1"	"XM_007455363.1"	NA	NA	NA	"XM_029223159.1"	"XM_024765738.1"	NA	"XM_004280554.2"	NA	NA	"XM_028500720.1"	NA	NA	NA	NA	NA	NA	"XM_019925167.1"	NA
"EOG0902002X"	NA	"XM_007164615.1"	NA	NA	NA	NA	NA	"XM_022575475.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027108832.1"	"XM_007468276.1"	NA	NA	NA	"XM_029227577.1"	"XM_024744725.1"	NA	"XM_012531903.1"	NA	NA	"XM_028485250.1"	NA	NA	NA	NA	NA	NA	NA	NA
"EOG0902002Y"	NA	"XM_028164467.1"	NA	NA	NA	NA	NA	"XM_022571402.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027122776.1"	"XM_007447628.1"	NA	NA	NA	"XM_029226708.1"	"XM_024764990.1"	NA	"XM_004277194.1"	NA	NA	"XM_024131378.1"	NA	NA	NA	NA	NA	NA	"XM_019921211.1"	NA
"EOG0902002Z"	NA	"XM_007187842.1"	NA	NA	NA	NA	NA	"XM_022568260.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027122575.1"	"XM_007460228.1"	NA	NA	NA	"XM_029225346.1"	"XM_024738362.1"	NA	"XM_004262772.1"	NA	NA	"XM_024124665.1"	NA	NA	NA	NA	NA	NA	"XM_019938888.1"	NA
"EOG09020031"	NA	"XM_007172884.2"	NA	NA	NA	NA	NA	"XM_022563183.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027115515.1"	"XM_007459828.1"	NA	NA	NA	"XM_029209047.1"	"XM_024757065.1"	NA	"XM_004279231.2"	NA	NA	"XM_024118685.1"	NA	NA	NA	NA	NA	NA	"XM_019948405.1"	NA
"EOG09020033"	NA	"XM_007187190.1"	NA	NA	NA	NA	NA	"XM_022599308.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027128651.1"	"XM_007456812.1"	NA	NA	NA	"XM_029231790.1"	"XM_024757973.1"	NA	"XM_012535971.1"	NA	NA	"XM_028497133.1"	NA	NA	NA	NA	NA	NA	"XM_019931305.1"	NA
"EOG09020034"	NA	"XM_007179969.2"	NA	NA	NA	NA	NA	"XM_022585647.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027079534.1"	"XM_007458701.1"	NA	NA	NA	"XM_029238804.1"	"XM_024768651.1"	NA	"XM_012533540.1"	NA	NA	"XM_024132655.1"	NA	NA	NA	NA	NA	NA	"XM_019941020.1"	NA
"EOG09020039"	NA	"XM_028166551.1"	NA	NA	NA	NA	NA	"XM_022573473.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027105656.1"	"XM_007450984.1"	NA	NA	NA	"XM_029201650.1"	"XM_024738968.1"	NA	"XM_012535440.1"	NA	NA	"XM_024126912.2"	NA	NA	NA	NA	NA	NA	"XM_019934645.1"	NA
"EOG0902003I"	NA	"XM_028168869.1"	NA	NA	NA	NA	NA	"XM_022553933.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027088177.1"	"XM_007462697.1"	NA	NA	NA	"XM_029241804.1"	"XM_024756554.1"	NA	"XM_012536027.1"	NA	NA	"XM_024132306.2"	NA	NA	NA	NA	NA	NA	"XM_019946960.1"	NA
"EOG0902003N"	NA	"XM_007169770.2"	NA	NA	NA	NA	NA	"XM_022564368.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027098284.1"	"XM_007463086.1"	NA	NA	NA	"XM_029218685.1"	"XM_024745593.1"	NA	"XM_004284816.2"	NA	NA	"XM_028497862.1"	NA	NA	NA	NA	NA	NA	"XM_019942605.1"	NA
"EOG0902003O"	NA	"XM_007188197.1"	NA	NA	NA	NA	NA	"XM_022556623.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027086157.1"	"XM_007448517.1"	NA	NA	NA	"XM_029227705.1"	"XM_024758757.1"	NA	"XM_004269818.2"	NA	NA	"XM_024133699.2"	NA	NA	NA	NA	NA	NA	"XM_019952653.1"	NA
"EOG0902003V"	NA	"XM_007181845.1"	NA	NA	NA	NA	NA	"XM_022564998.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027106012.1"	"XM_007450521.1"	NA	NA	NA	"XM_029213828.1"	"XM_024769212.1"	NA	"XM_004278548.1"	NA	NA	"XM_007106940.3"	NA	NA	NA	NA	NA	NA	"XM_019922634.1"	NA
"EOG09020045"	NA	"XM_007166094.1"	NA	NA	NA	NA	NA	"XM_022600017.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027107363.1"	"XM_007454272.1"	NA	NA	NA	"XM_029206262.1"	"XM_024732138.1"	NA	"XM_004269450.2"	NA	NA	"XM_007109862.3"	NA	NA	NA	NA	NA	NA	"XM_019952337.1"	NA
"EOG09020049"	NA	"XM_028165269.1"	NA	NA	NA	NA	NA	"XM_022595931.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027130730.1"	"XM_007454251.1"	NA	NA	NA	"XM_029211290.1"	"XM_024736156.1"	NA	"XM_004267023.2"	NA	NA	"XM_028498092.1"	NA	NA	NA	NA	NA	NA	"XM_019926861.1"	NA
"EOG0902004A"	NA	"XM_007195922.1"	NA	NA	NA	NA	NA	"XM_022552259.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027091087.1"	"XM_007467314.1"	NA	NA	NA	"XM_029223464.1"	"XM_024733701.1"	NA	"XM_004264844.1"	NA	NA	"XM_028494670.1"	NA	NA	NA	NA	NA	NA	"XM_019929391.1"	NA
"EOG0902004B"	NA	"XM_007188080.1"	NA	NA	NA	NA	NA	"XM_022582665.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027091644.1"	"XM_007446982.1"	NA	NA	NA	"XM_029214126.1"	"XM_024769090.1"	NA	"XM_004278242.1"	NA	NA	"XM_007126489.3"	NA	NA	NA	NA	NA	NA	"XM_019934298.1"	NA
"EOG0902004D"	NA	"XM_007174747.2"	NA	NA	NA	NA	NA	"XM_022572924.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027121023.1"	"XM_007451862.1"	NA	NA	NA	"XM_029244114.1"	"XM_024746341.1"	NA	"XM_004267896.2"	NA	NA	"XM_028478762.1"	NA	NA	NA	NA	NA	NA	NA	NA
"EOG0902004H"	NA	"XM_007165813.2"	NA	NA	NA	NA	NA	"XM_022599776.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027107321.1"	"XM_007465345.1"	NA	NA	NA	"XM_029204823.1"	"XM_024732102.1"	NA	"XM_004269476.1"	NA	NA	"XM_024127275.2"	NA	NA	NA	NA	NA	NA	"XM_019952567.1"	NA
"EOG0902004P"	NA	"XM_028163508.1"	NA	NA	NA	NA	NA	"XM_022577358.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027093340.1"	"XM_007469511.1"	NA	NA	NA	"XM_029204363.1"	"XM_024733215.1"	NA	"XM_004279025.1"	NA	NA	"XM_028490937.1"	NA	NA	NA	NA	NA	NA	"XM_019925961.1"	NA
"EOG0902004R"	NA	"XM_007184250.1"	NA	NA	NA	NA	NA	"XM_022576222.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027120421.1"	"XM_007454732.1"	NA	NA	NA	"XM_029239762.1"	"XM_024759171.1"	NA	"XM_004262486.1"	NA	NA	"XM_024131070.2"	NA	NA	NA	NA	NA	NA	"XM_019918667.1"	NA
"EOG0902004T"	NA	"XM_028163310.1"	NA	NA	NA	NA	NA	"XM_022583935.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027090961.1"	"XM_007457124.1"	NA	NA	NA	"XM_029229052.1"	"XM_024764784.1"	NA	"XM_004263258.2"	NA	NA	"XM_024119792.1"	NA	NA	NA	NA	NA	NA	"XM_019919449.1"	NA
"EOG0902004U"	NA	"XM_007192199.1"	NA	NA	NA	NA	NA	"XM_022599169.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027092649.1"	"XM_007447917.1"	NA	NA	NA	"XM_029218162.1"	"XM_024754592.1"	NA	"XM_004265995.2"	NA	NA	"XM_007103219.3"	NA	NA	NA	NA	NA	NA	"XM_019930132.1"	NA
"EOG0902004V"	NA	"XM_028163868.1"	NA	NA	NA	NA	NA	"XM_022559690.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027095162.1"	"XM_007457931.1"	NA	NA	NA	"XM_029227664.1"	"XM_024748115.1"	NA	"XM_004284597.2"	NA	NA	"XM_024116023.2"	NA	NA	NA	NA	NA	NA	"XM_019933568.1"	NA
"EOG0902004W"	NA	"XM_028162875.1"	NA	NA	NA	NA	NA	"XM_022566990.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027103342.1"	"XM_007446038.1"	NA	NA	NA	"XM_029234885.1"	"XM_024741760.1"	NA	"XM_004282536.2"	NA	NA	"XM_024119195.2"	NA	NA	NA	NA	NA	NA	"XM_019928489.1"	NA
"EOG0902004Y"	NA	"XM_028163162.1"	NA	NA	NA	NA	NA	"XM_022595332.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027128031.1"	"XM_007471475.1"	NA	NA	NA	"XM_029222950.1"	"XM_024742640.1"	NA	"XM_004274983.1"	NA	NA	"XM_028500514.1"	NA	NA	NA	NA	NA	NA	"XM_019925280.1"	NA
"EOG0902004Z"	NA	"XM_007194460.2"	NA	NA	NA	NA	NA	"XM_022578355.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027104459.1"	"XM_007453112.1"	NA	NA	NA	"XM_029201591.1"	"XM_024762109.1"	NA	"XM_004269368.2"	NA	NA	"XM_028497716.1"	NA	NA	NA	NA	NA	NA	"XM_019920208.1"	NA
"EOG09020052"	NA	"XM_007181854.1"	NA	NA	NA	NA	NA	"XM_022564544.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027106000.1"	"XM_007450507.1"	NA	NA	NA	"XM_029213607.1"	"XM_024769350.1"	NA	"XM_004278543.1"	NA	NA	"XM_007106950.1"	NA	NA	NA	NA	NA	NA	"XM_019923270.1"	NA
"EOG09020053"	NA	"XM_028164489.1"	NA	NA	NA	NA	NA	"XM_022586617.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027128317.1"	"XM_007466386.1"	NA	NA	NA	"XM_029244440.1"	"XM_024738850.1"	NA	"XM_004281052.1"	NA	NA	"XM_024117485.2"	NA	NA	NA	NA	NA	NA	"XM_019944970.1"	NA
